؀	0600
؁	0601
؂	0602
؃	0603
؆	0606
؇	0607
؈	0608
؉	0609
؊	060A
؋	060B
،	060C
؍	060D
؎	060E
؏	060F
حؐ	0610
حؑ	0611
حؒ	0612
حؓ	0613
حؔ	0614
حؕ	0615
حؖ	0616
حؗ	0617
حؘ	0618
حؙ	0619
حؚ	061A
؛	061B
؞	061E
؟	061F
ء	0621
آ	0622
أ	0623
ؤ	0624
إ	0625
ئ	0626
ا	0627
ب	0628
ة	0629
ت	062A
ث	062B
ج	062C
ح	062D
خ	062E
د	062F
ذ	0630
ر	0631
ز	0632
س	0633
ش	0634
ص	0635
ض	0636
ط	0637
ظ	0638
ع	0639
غ	063A
ػ	063B
ؼ	063C
ؽ	063D
ؾ	063E
ؿ	063F
ـ	0640
ف	0641
ق	0642
ك	0643
ل	0644
م	0645
ن	0646
ه	0647
و	0648
ى	0649
ي	064A
حً	064B
حٌ	064C
حٍ	064D
حَ	064E
حُ	064F
حِ	0650
حّ	0651
حْ	0652
حٓ	0653
حٔ	0654
حٕ	0655
حٖ	0656
حٗ	0657
ح٘	0658
حٙ	0659
حٚ	065A
حٛ	065B
حٜ	065C
حٝ	065D
حٞ	065E
٠	0660
١	0661
٢	0662
٣	0663
٤	0664
٥	0665
٦	0666
٧	0667
٨	0668
٩	0669
٪	066A
٫	066B
٬	066C
٭	066D
ٮ	066E
ٯ	066F
حٰ	0670
ٱ	0671
ٲ	0672
ٳ	0673
ٴ	0674
ٵ	0675
ٶ	0676
ٷ	0677
ٸ	0678
ٹ	0679
ٺ	067A
ٻ	067B
ټ	067C
ٽ	067D
پ	067E
ٿ	067F
ڀ	0680
ځ	0681
ڂ	0682
ڃ	0683
ڄ	0684
څ	0685
چ	0686
ڇ	0687
ڈ	0688
ډ	0689
ڊ	068A
ڋ	068B
ڌ	068C
ڍ	068D
ڎ	068E
ڏ	068F
ڐ	0690
ڑ	0691
ڒ	0692
ړ	0693
ڔ	0694
ڕ	0695
ږ	0696
ڗ	0697
ژ	0698
ڙ	0699
ښ	069A
ڛ	069B
ڜ	069C
ڝ	069D
ڞ	069E
ڟ	069F
ڠ	06A0
ڡ	06A1
ڢ	06A2
ڣ	06A3
ڤ	06A4
ڥ	06A5
ڦ	06A6
ڧ	06A7
ڨ	06A8
ک	06A9
ڪ	06AA
ګ	06AB
ڬ	06AC
ڭ	06AD
ڮ	06AE
گ	06AF
ڰ	06B0
ڱ	06B1
ڲ	06B2
ڳ	06B3
ڴ	06B4
ڵ	06B5
ڶ	06B6
ڷ	06B7
ڸ	06B8
ڹ	06B9
ں	06BA
ڻ	06BB
ڼ	06BC
ڽ	06BD
ھ	06BE
ڿ	06BF
ۀ	06C0
ہ	06C1
ۂ	06C2
ۃ	06C3
ۄ	06C4
ۅ	06C5
ۆ	06C6
ۇ	06C7
ۈ	06C8
ۉ	06C9
ۊ	06CA
ۋ	06CB
ی	06CC
ۍ	06CD
ێ	06CE
ۏ	06CF
ې	06D0
ۑ	06D1
ے	06D2
ۓ	06D3
۔	06D4
ە	06D5
حۖ	06D6
حۗ	06D7
حۘ	06D8
حۙ	06D9
حۚ	06DA
حۛ	06DB
حۜ	06DC
۝	06DD
۞	06DE
ح۟	06DF
ح۠	06E0
حۡ	06E1
حۢ	06E2
حۣ	06E3
حۤ	06E4
ۥ	06E5
ۦ	06E6
حۧ	06E7
حۨ	06E8
۩	06E9
ح۪	06EA
ح۫	06EB
ح۬	06EC
حۭ	06ED
ۮ	06EE
ۯ	06EF
۰	06F0
۱	06F1
۲	06F2
۳	06F3
۴	06F4
۵	06F5
۶	06F6
۷	06F7
۸	06F8
۹	06F9
ۺ	06FA
ۻ	06FB
ۼ	06FC
۽	06FD
۾	06FE
ۿ	06FF
